ActivityStartDate,HydrologicEvent,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,DetectionQuantitationLimitMeasure/MeasureValue,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,ResultMeasure/MeasureUnitCode,DetectionQuantitationLimitMeasure/MeasureUnitCode,LastUpdated,ProviderName,OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,MeasureQualifierCode,ResultStatusIdentifier,ResultValueTypeName,USGSPCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext
9/1/2021,Storm,,Escherichia coli,,24000,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey,,holding time exceeded,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100809,Sample-Routine,Water,Surface Water,19:45:00,EDT,,,U.S. Geological Survey,USGS-01650800,,,,Falling stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-121882763,,Accepted,Actual,50468,BAC15,USGS
9/1/2021,Storm,Present Above Quantification Limit,Total Coliform,Total,,240000,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey,,holding time exceeded,Upper Reporting Limit,,MPN/100 ml,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100809,Sample-Routine,Water,Surface Water,19:45:00,EDT,,,U.S. Geological Survey,USGS-01650800,,,,Falling stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-121882764,,Accepted,Actual,50569,BAC48,USGS
6/3/2021,Routine sample,,Escherichia coli,,64,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100654,Sample-Routine,Water,Surface Water,10:40:00,EDT,,,U.S. Geological Survey,USGS-01649190,,,,"Stable, normal stage",,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,US DH-81,NWIS-121436382,,Accepted,Actual,50468,BAC15,USGS
6/3/2021,Routine sample,,Total Coliform,Total,10000,,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100654,Sample-Routine,Water,Surface Water,10:40:00,EDT,,,U.S. Geological Survey,USGS-01649190,,,,"Stable, normal stage",,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,US DH-81,NWIS-121436383,,Accepted,Actual,50569,BAC48,USGS
10/29/2021,Storm,,Escherichia coli,,12000,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey,,holding time exceeded,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02200034,Sample-Routine,Water,Surface Water,15:50:00,EDT,,,U.S. Geological Survey,USGS-01649190,,,,Rising stage,,,50,USGS parameter code 82398,Point sample,,Grab sample,NWIS-122634891,,Accepted,Actual,50468,BAC15,USGS
10/29/2021,Storm,Present Above Quantification Limit,Total Coliform,Total,,240000,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey,,holding time exceeded,Upper Reporting Limit,,MPN/100 ml,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02200034,Sample-Routine,Water,Surface Water,15:50:00,EDT,,,U.S. Geological Survey,USGS-01649190,,,,Rising stage,,,50,USGS parameter code 82398,Point sample,,Grab sample,NWIS-122634892,,Accepted,Actual,50569,BAC48,USGS
6/3/2021,Routine sample,,Escherichia coli,,170,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100620,Sample-Routine,Water,Surface Water,10:20:00,EDT,,,U.S. Geological Survey,USGS-01650800,,,,"Stable, normal stage",,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,US DH-81,NWIS-121233892,,Accepted,Actual,50468,BAC15,USGS
6/3/2021,Routine sample,,Total Coliform,Total,39000,,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100620,Sample-Routine,Water,Surface Water,10:20:00,EDT,,,U.S. Geological Survey,USGS-01650800,,,,"Stable, normal stage",,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,US DH-81,NWIS-121233893,,Accepted,Actual,50569,BAC48,USGS
11/3/2021,Routine sample,,Escherichia coli,,990,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02200063,Sample-Routine,Water,Surface Water,9:05:00,EDT,,,U.S. Geological Survey,USGS-01650800,,,,"Stable, normal stage",,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,US DH-81,NWIS-122669175,,Accepted,Actual,50468,BAC15,USGS
11/3/2021,Routine sample,,Total Coliform,Total,16000,,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02200063,Sample-Routine,Water,Surface Water,9:05:00,EDT,,,U.S. Geological Survey,USGS-01650800,,,,"Stable, normal stage",,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,US DH-81,NWIS-122669176,,Accepted,Actual,50569,BAC48,USGS
12/7/2021,Routine sample,,Escherichia coli,,63,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02200170,Sample-Routine,Water,Surface Water,9:15:00,EDT,,,U.S. Geological Survey,USGS-01649190,,,,"Stable, normal stage",,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,US DH-81,NWIS-122820221,,Accepted,Actual,50468,BAC15,USGS
12/7/2021,Routine sample,,Total Coliform,Total,500,,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02200170,Sample-Routine,Water,Surface Water,9:15:00,EDT,,,U.S. Geological Survey,USGS-01649190,,,,"Stable, normal stage",,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,US DH-81,NWIS-122820222,,Accepted,Actual,50569,BAC48,USGS
8/10/2021,Storm,,Escherichia coli,,9200,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey,,analyte detected in laboratory blankvalue extrapolated at high endsample preparation problem,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100775,Sample-Routine,Water,Surface Water,18:20:00,EDT,,,U.S. Geological Survey,USGS-01650800,,,,Rising stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-121649553,,Accepted,Actual,50468,BAC15,USGS
8/10/2021,Storm,Present Above Quantification Limit,Total Coliform,Total,,240000,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey,,analyte detected in laboratory blankvalue extrapolated at high endsample preparation problem,Upper Reporting Limit,,MPN/100 ml,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100775,Sample-Routine,Water,Surface Water,18:20:00,EDT,,,U.S. Geological Survey,USGS-01650800,,,,Rising stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-121649554,,Accepted,Actual,50569,BAC48,USGS
10/7/2021,Routine sample,,Escherichia coli,,380,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02200007,Sample-Routine,Water,Surface Water,11:45:00,EDT,,,U.S. Geological Survey,USGS-01650800,,,,"Stable, normal stage",,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,US DH-81,NWIS-122532612,,Accepted,Actual,50468,BAC15,USGS
10/7/2021,Routine sample,,Total Coliform,Total,5500,,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02200007,Sample-Routine,Water,Surface Water,11:45:00,EDT,,,U.S. Geological Survey,USGS-01650800,,,,"Stable, normal stage",,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,US DH-81,NWIS-122532613,,Accepted,Actual,50569,BAC48,USGS
6/15/2021,Storm,,Escherichia coli,,28000,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey,,holding time exceeded,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100643,Sample-Routine,Water,Surface Water,1:40:00,EDT,,,U.S. Geological Survey,USGS-01649190,,,,Falling stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-121290454,,Accepted,Actual,50468,BAC15,USGS
6/15/2021,Storm,Present Above Quantification Limit,Total Coliform,Total,,240000,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey,,holding time exceeded,Upper Reporting Limit,,MPN/100 ml,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100643,Sample-Routine,Water,Surface Water,1:40:00,EDT,,,U.S. Geological Survey,USGS-01649190,,,,Falling stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-121290455,,Accepted,Actual,50569,BAC48,USGS
7/6/2021,Routine sample,,Escherichia coli,,700,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100655,Sample-Routine,Water,Surface Water,9:15:00,EDT,,,U.S. Geological Survey,USGS-01650800,,,,"Stable, normal stage",,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-121442512,,Accepted,Actual,50468,BAC15,USGS
7/6/2021,Routine sample,,Total Coliform,Total,22000,,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100655,Sample-Routine,Water,Surface Water,9:15:00,EDT,,,U.S. Geological Survey,USGS-01650800,,,,"Stable, normal stage",,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-121442513,,Accepted,Actual,50569,BAC48,USGS
9/1/2021,Storm,,Escherichia coli,,26000,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey,,holding time exceeded,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100808,Sample-Routine,Water,Surface Water,18:30:00,EDT,,,U.S. Geological Survey,USGS-01650800,,,,Rising stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-121882720,,Accepted,Actual,50468,BAC15,USGS
9/1/2021,Storm,Present Above Quantification Limit,Total Coliform,Total,,240000,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey,,holding time exceeded,Upper Reporting Limit,,MPN/100 ml,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100808,Sample-Routine,Water,Surface Water,18:30:00,EDT,,,U.S. Geological Survey,USGS-01650800,,,,Rising stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-121882721,,Accepted,Actual,50569,BAC48,USGS
8/3/2021,Routine sample,,Escherichia coli,,440,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100755,Sample-Routine,Water,Surface Water,8:50:00,EDT,,,U.S. Geological Survey,USGS-01649190,,,,"Stable, normal stage",,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,US DH-81,NWIS-121600137,,Accepted,Actual,50468,BAC15,USGS
8/3/2021,Routine sample,,Total Coliform,Total,16000,,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100755,Sample-Routine,Water,Surface Water,8:50:00,EDT,,,U.S. Geological Survey,USGS-01649190,,,,"Stable, normal stage",,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,US DH-81,NWIS-121600138,,Accepted,Actual,50569,BAC48,USGS
8/17/2021,Storm,,Escherichia coli,,17000,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey,,holding time exceeded,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100781,Sample-Routine,Water,Surface Water,6:15:00,EDT,,,U.S. Geological Survey,USGS-01649190,,,,Falling stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-121737507,,Accepted,Actual,50468,BAC15,USGS
8/17/2021,Storm,Present Above Quantification Limit,Total Coliform,Total,,240000,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey,,holding time exceeded,Upper Reporting Limit,,MPN/100 ml,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100781,Sample-Routine,Water,Surface Water,6:15:00,EDT,,,U.S. Geological Survey,USGS-01649190,,,,Falling stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-121737508,,Accepted,Actual,50569,BAC48,USGS
5/28/2021,Storm,,Escherichia coli,,13000,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey,,analyte detected in laboratory blankvalue extrapolated at high endsample preparation problem,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100595,Sample-Routine,Water,Surface Water,19:50:00,EDT,,,U.S. Geological Survey,USGS-01650800,,,,Rising stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-121199265,,Accepted,Actual,50468,BAC15,USGS
5/28/2021,Storm,Present Above Quantification Limit,Total Coliform,Total,,240000,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey,,analyte detected in laboratory blankvalue extrapolated at high endsample preparation problem,Upper Reporting Limit,,MPN/100 ml,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100595,Sample-Routine,Water,Surface Water,19:50:00,EDT,,,U.S. Geological Survey,USGS-01650800,,,,Rising stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-121199266,,Accepted,Actual,50569,BAC48,USGS
1/27/2021,Routine sample,,Escherichia coli,,270,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100186,Sample-Routine,Water,Surface Water,11:40:00,EST,,,U.S. Geological Survey-Water Resources Discipline,USGS-01650800,,,,Falling stage,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,US DH-81,NWIS-120441052,,Accepted,Actual,50468,BAC15,USGS
1/27/2021,Routine sample,,Total Coliform,Total,7300,,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100186,Sample-Routine,Water,Surface Water,11:40:00,EST,,,U.S. Geological Survey-Water Resources Discipline,USGS-01650800,,,,Falling stage,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,US DH-81,NWIS-120441053,,Accepted,Actual,50569,BAC48,USGS
8/17/2021,Storm,,Escherichia coli,,49000,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey,,holding time exceeded,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100783,Sample-Routine,Water,Surface Water,1:00:00,EDT,,,U.S. Geological Survey,USGS-01649190,,,,Rising stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-121737597,,Accepted,Actual,50468,BAC15,USGS
8/17/2021,Storm,Present Above Quantification Limit,Total Coliform,Total,,240000,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey,,holding time exceeded,Upper Reporting Limit,,MPN/100 ml,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100783,Sample-Routine,Water,Surface Water,1:00:00,EDT,,,U.S. Geological Survey,USGS-01649190,,,,Rising stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-121737598,,Accepted,Actual,50569,BAC48,USGS
